"","film","revenue","adult","budget","language","popularity","runtime","vote.average","vote.count","id","tagline","release.date","genres"
"196","Four Flies on Grey Velvet",0,"False",0,"it",6.985,104,"6.5",156,30689,"When the flies start to crawl, so will your flesh...","17/12/1971","[80, 9648, 53]"
"197","The Last Picture Show",29133000,"False",1300000,"en",9.183,119,"7.8",291,25188,"Anarene, Texas, 1951. Nothing much has changed…","03/10/1971","[18]"
"198","Walkabout",0,"False",0,"en",5.728,95,"7.4",186,36040,"A boy and girl face the challenge of the world's last frontier.","01/07/1971","[12, 18]"
"199","And Now for Something Completely Different",7000,"False",100000,"en",7.977,88,"7.3",270,9267,"If the Motion Picture Industry dies… Monty Python killed it!","28/09/1971","[35]"
"200","The Beguiled",0,"False",0,"en",7.198,105,"7.1",199,31906,"One man...seven women...in a strange house!","31/03/1971","[18, 53, 10752]"
"201","The Working Class Goes to Heaven",0,"False",0,"it",5.197,125,"8",116,56231,"","17/09/1971","[18]"
"202","Summer of '42",0,"False",0,"en",4.909,103,"6.8",66,41357,"In everyone's life there's a ""Summer of '42""","09/04/1971","[35, 18, 10749]"
"203","The Abominable Dr. Phibes",0,"False",3000000,"en",5.924,94,"6.9",146,17965,"Love means never having to say you're ugly.","18/05/1971","[35, 27]"
"204","The Devils",0,"False",0,"en",7.423,111,"7.6",165,31767,"Hell holds no surprises for them.","01/07/1971","[18, 36]"
"205","Wake in Fright",50394,"False",0,"en",6.17,114,"7.5",118,26405,"Have a drink, mate? Have a fight, mate? Have some dust and sweat, mate? There's nothing else out here.","21/07/1971","[18, 53]"
"206","10 Rillington Place",0,"False",0,"en",6.432,106,"7.3",84,26234,"What happened to the women at 10 Rillington Place?","10/02/1971","[80, 18, 27]"
"207","A Touch of Zen",0,"False",0,"zh",5.975,180,"8",69,44154,"","17/11/1971","[28, 12]"
"208","Bananas",11833696,"False",2000000,"en",7.952,82,"6.7",376,11302,"","28/04/1971","[35]"
"209","The Cat o' Nine Tails",1204739,"False",1000000,"it",7.09,112,"6.7",173,27431,"Caught between the truth and a murderer's hand!","12/02/1971","[27, 9648, 53]"
"210","The Anderson Tapes",0,"False",3000000,"en",4.509,99,"6.5",64,30941,"The Crime of the Century!","17/06/1971","[28, 80, 18, 53]"
"211","Johnny Got His Gun",0,"False",0,"en",5.826,111,"7.5",163,16328,"The most shattering experience you'll ever live.","04/08/1971","[18, 10752]"
"212","Don't Deliver Us from Evil",0,"False",0,"fr",4.166,102,"6.8",37,61683,"A film that goes where no other has dared.","05/04/1971","[27, 18]"
"213","Twins of Evil",0,"False",0,"en",4.704,87,"6.8",55,28801,"Which is the Virgin? Which is the Vampire?","03/10/1971","[27]"
"214","12 Chairs",0,"False",0,"ru",3.753,161,"7.6",57,31648,"","21/06/1971","[12, 35]"
"215","Women in Cages",0,"False",0,"en",5.148,81,"5.1",29,34462,"The dirty dolls of devil's island. You can meet them for a price!","19/10/1971","[28, 80, 18]"
"216","Deep End",0,"False",0,"en",5.592,90,"6.9",79,59408,"If you can't have the real thing... you do all kinds of unreal things.","17/03/1971","[18, 10749]"
"217","The Emigrants",0,"False",0,"sv",3.692,191,"7.2",49,40732,"a new land...a new hope...a new dream","08/03/1971","[12, 18]"
"218","Carnal Knowledge",28623900,"False",0,"en",4.701,98,"6.7",66,36492,"Everyone needs to be loved - sometime or another.","30/06/1971","[18]"
"219","Let's Scare Jessica to Death",0,"False",180000,"en",4.643,89,"6.3",81,16154,"Nightmare or sanity... which is which?","06/08/1971","[18, 27, 9648]"
"220","Countess Dracula",0,"False",0,"en",4.388,93,"5.8",56,39043,"The more she drinks, the prettier she gets","31/01/1971","[27]"
"221","The House That Dripped Blood",0,"False",0,"en",4.38,102,"6.1",56,39261,"Vampires! Voodoo! Vixens! Victims!","22/02/1971","[27, 9648]"
"222","Perched on a Tree",0,"False",0,"fr",4.52,90,"5.1",69,11914,"","12/04/1971","[35]"
"223","Godzilla vs. Hedorah",0,"False",250000,"ja",5.318,87,"6.3",54,39464,"The Smog Monster Hedorah arrives in a shooting star!","24/07/1971","[878, 18, 27]"
"224","Jo",0,"False",0,"fr",5.942,85,"7.2",141,12598,"","31/08/1971","[35]"
"225","Hannie Caulder",0,"False",0,"en",6.04,85,"6.4",45,31283,"The first lady gunfighter.","08/11/1971","[18, 37, 80]"
"226","Murphy's War",0,"False",0,"en",3.183,107,"6.3",25,35068,"World War Two was just ending. World War Murphy is about to begin.","01/07/1971","[18, 10752]"
"227","Blackie the Pirate",0,"False",0,"it",3.962,99,"6",26,52721,"","12/03/1971","[12]"
"228","The Blood on Satan's Claw",0,"False",140000,"en",4.103,93,"6.2",56,26774,"A chill-filled festival of horror!","28/01/1971","[27]"
"229","Daughters of Darkness",0,"False",0,"fr",3.543,100,"5.9",54,46175,"These are the Daughters of Darkness… They are waiting for you - They thrive on BLOOD","28/05/1971","[27, 53]"
"230","Friends",0,"False",0,"en",4.466,101,"6.3",10,4156,"Who needs the world when you own the moon and stars.","24/03/1971","[18, 10749]"
"231","The Go-Between",0,"False",100000,"en",3.765,118,"7",45,36194,"","24/09/1971","[18, 10749]"
"232","A Lizard in a Woman's Skin",0,"False",0,"it",4.27,104,"6.7",62,63025,"Biting, Gnawing Terror Claws at Your Brain!","18/02/1971","[9648, 53]"
"233","Mary, Queen of Scots",0,"False",0,"en",4.593,128,"6.8",23,46067,"MARY, QUEEN OF SCOTS, who ruled with the heart of a woman.","22/12/1971","[18, 36]"
"234","A New Leaf",0,"False",0,"en",4.01,102,"7.3",54,36850,"","11/03/1971","[35, 10749]"
"235","Mandala",0,"False",0,"ja",4.034,132,"7.6",5,104543,"","11/09/1971","[18]"
"236","Punishment Park",0,"False",25000,"en",4.897,88,"7.6",76,26513,"One of the most controversial films ever made.","09/05/1971","[18, 53]"
"237","Willard",0,"False",0,"en",4.314,95,"6.4",40,42532,"This is Willard and his friend Ben. Ben will do anything for Willard.","30/07/1971","[27, 878]"
"238","The Hospital",0,"False",0,"en",4.369,103,"6.7",42,32082,"Madness, Murder and Malpractice.","14/12/1971","[9648, 35, 18]"
"239","Lust for a Vampire",0,"False",0,"en",3.354,91,"6.2",25,31472,"A vampire's lust knows no boundaries...","17/01/1971","[27]"
"240","The Strange Vice of Mrs Wardh",0,"False",0,"it",3.834,98,"7",41,30903,"Did you read about what happened to the poor girl in the shower?...","15/01/1971","[80, 27, 9648]"
"241","Man in the Wilderness",0,"False",0,"en",4.662,104,"6.3",52,46845,"He was left for dead. He would not forget.","24/11/1971","[12, 18, 37]"
"242","Brian's Song",0,"False",0,"en",4.301,73,"7.4",40,18047,"","30/11/1971","[18, 10770]"
"243","Valdez Is Coming",0,"False",0,"en",4.939,91,"5.7",28,21242,"Honor is always worth fighting for","09/04/1971","[37]"
"244","Sacco & Vanzetti",0,"False",0,"en",3.868,120,"7.6",59,48211,"","16/03/1971","[80, 18, 36]"
"245","The Big Doll House",0,"False",0,"en",3.332,95,"5.9",33,42517,"Their bodies were caged, but not their desires. They would do anything for a man - or to him.","01/01/1971","[28, 18]"
"246","Dad's Army",0,"False",0,"en",3.669,95,"4",61,20051,"At Last, Their Epic Story Invades The Big Screen!","12/03/1971","[35]"
"247","Nicholas and Alexandra",0,"False",0,"en",4.738,189,"7.2",30,38646,"...is the story of the love that changed the world forever!","29/11/1971","[18, 36, 10749, 10752]"
"248","Sunday Bloody Sunday",0,"False",0,"en",4.923,110,"6.8",53,45938,"It's about three decent people. They will break your heart.","01/07/1971","[18]"
"249","Support Your Local Gunfighter",0,"False",0,"en",5.38,91,"6.6",35,18287,"","26/05/1971","[28, 35, 37]"
"250","Hands of the Ripper",0,"False",0,"en",2.316,85,"6.3",31,53045,"The hands of Jack the Ripper live again...","17/10/1971","[27, 53]"
"251","Raid on Rommel",0,"False",0,"en",2.816,99,"5.5",25,53657,"","12/02/1971","[10752, 28]"
"252","The Widow Couderc",0,"False",0,"fr",2.532,92,"7.2",24,76871,"","15/09/1971","[28, 18, 10749]"
"253","The Million Dollar Duck",0,"False",0,"en",2.246,89,"5.5",31,22777,"What an EGGstravaganza!","30/06/1971","[35, 10751]"
"254","Trafic",0,"False",0,"fr",4.291,96,"7.2",66,11378,"The laughs are bumper to bumper!","16/04/1971","[35]"
"255","The Case of the Scorpion's Tail",0,"False",0,"it",3.368,96,"6.6",27,16825,"","16/08/1971","[9648, 53]"
"256","WR: Mysteries of the Organism",0,"False",0,"sh",3.577,84,"6.8",34,42529,"","13/10/1971","[18, 14, 35]"
"257","Exposed",0,"False",0,"sv",3.563,90,"5.1",17,72615,"The dreams of a young virgin...","23/08/1971","[53, 18, 10749]"
"258","Chaleurs",0,"False",0,"fr",2.206,90,"0",0,455670,"","21/04/1971","[]"
"259","Rabbit's Moon",0,"False",0,"en",2.861,16,"6.2",27,46784,"","02/01/1971","[18]"
"260","Vacation",0,"False",0,"it",2.979,101,"5.3",6,138273,"","04/09/1971","[18]"
"261","The Married Couple of the Year Two",0,"False",0,"fr",4.335,98,"6.5",43,4279,"","07/04/1971","[12, 35, 36]"
"262","Emil in Lonneberga",0,"False",0,"sv",4.162,95,"6.4",29,11945,"","20/12/1971","[35, 10751]"
"263","Carry On Henry",0,"False",0,"en",4.382,89,"6.7",28,24569,"","01/01/1971","[12, 35, 36, 10749]"
"264","Sometimes a Great Notion",0,"False",0,"en",3.39,114,"7.1",45,40083,"""Never give a inch"" was the motto of the Stampers of Oregon. And live it they did!","17/12/1971","[28, 12, 18]"
"265","The Hunting Party",0,"False",0,"en",2.885,111,"6.5",20,45007,"In the west, revenge is a deadly game.","16/07/1971","[28, 18, 37]"
"266","Sweet Sweetback's Baadasssss Song",15200000,"False",150000,"en",4.544,97,"5.3",42,5822,"The Film that THE MAN doesn't want you to see!","23/04/1971","[28, 18, 80]"
"267","The Shiver of the Vampires",0,"False",0,"fr",2.131,95,"5.1",21,29129,"","21/04/1971","[27]"
"268","Black Belly of the Tarantula",0,"False",0,"it",3.211,98,"6.4",31,26504,"With needles dipped in deadly venom the victims are paralyzed - so they must lie awake and watch themselves die!","12/08/1971","[27, 9648, 53]"
"269","Demons",0,"False",0,"ja",2.114,134,"8.2",26,104548,"","13/02/1971","[18, 27]"
"270","Vampyros Lesbos",0,"False",0,"es",4.234,89,"5.4",57,17343,"A Psycho-Sexadelic Horror Freakout!","15/07/1971","[27]"
"271","Blindman",0,"False",0,"en",4.246,105,"6.3",16,30648,"Blindman, Blindman, what did he do? Stole 50 women that belong to you.","15/11/1971","[37]"
"272","Taking Off",0,"False",0,"en",2.596,93,"7",36,59881,"","17/05/1971","[10402, 35, 18]"
"273","In the Name of the Italian People",0,"False",0,"it",3.475,103,"7.4",32,65573,"","18/12/1971","[35, 9648]"
"274","Melody",0,"False",1000000,"en",2.729,103,"7.2",24,48207,"A tender love story for everyone who was ever ten years old.","28/03/1971","[35, 18, 10749]"
"275","Wild Rovers",0,"False",0,"en",2.486,136,"6.5",16,42531,"They were damned good cowboys, until they robbed a bank.","23/06/1971","[28, 37]"
"276","Maid in Sweden",0,"False",0,"en",4.525,80,"4.2",9,47570,"Inga at sixteen. Her coming of age.","03/11/1971","[18]"
"277","Carry On at Your Convenience",0,"False",0,"en",3.652,90,"6.3",30,19297,"","10/12/1971","[35]"
"278","They Might Be Giants",0,"False",0,"en",3.557,98,"7.2",27,27841,"","09/06/1971","[35, 9648, 53]"
"279","Dr Jekyll & Sister Hyde",0,"False",0,"en",3.855,97,"6.3",37,30855,"PARENTS: Be sure your children are sufficiently mature to witness the intimate details of this frank and revealing film.","17/10/1971","[27]"
"280","Daisy Town",0,"False",0,"fr",3.622,71,"6.4",46,52761,"","01/11/1971","[16, 35, 37]"
"281","A Girl in Australia",0,"False",0,"it",2.661,107,"6.7",40,61799,"","22/12/1971","[35]"
"282","$",0,"False",0,"en",2.659,121,"6.6",14,31644,"The BIG bank-heist is on!","17/12/1971","[35, 80, 18]"
"283","Shoot Out",0,"False",0,"en",4.019,95,"6.1",26,79735,"He's Out of Jail, and Ready for Revenge","16/08/1971","[37]"
"284","Billy Jack",0,"False",0,"en",2.386,114,"6.2",30,21142,"When you need him, he's always there!","02/08/1971","[28, 12, 18]"
"285","Winnie-the-Pooh Goes Visiting",0,"False",0,"ru",4.47,10,"7.3",61,36163,"","01/01/1971","[16, 10751]"
"286","Minnie and Moskowitz",0,"False",0,"en",3.279,115,"6.6",35,24349,"","22/12/1971","[18, 10749, 35]"
"287","Two English Girls",0,"False",0,"fr",4.258,130,"6.9",51,42513,"","18/11/1971","[18, 10749]"
"288","Lawman",0,"False",0,"en",4.423,99,"6.7",46,42500,"He gave the West justice right up to its neck... then rammed more down its throat.","01/01/1971","[28, 37]"
"289","Short Night of Glass Dolls",0,"False",0,"it",2.812,92,"6.9",28,39993,"","21/10/1971","[27, 9648, 53]"
"290","See No Evil",0,"False",0,"en",4.305,89,"6.5",36,39859,"Keep your eyes on what she can not see.","02/09/1971","[80, 9648, 53]"
"291","Return of Sabata",0,"False",245000,"it",3.651,100,"5.7",23,72032,"The man with gunsight eyes is back!","03/09/1971","[37]"
"292","I Hate Mondays",0,"False",0,"pl",1.87,98,"7.5",22,64115,"","27/08/1971","[35]"
"293","The Duel",0,"False",0,"zh",2.199,103,"7.1",8,139321,"","21/04/1971","[28]"
"294","Up Pompeii",0,"False",0,"en",2.623,90,"7",14,32116,"Join us for an ORGY of LAUGHS!","01/01/1971","[35]"
"295","Anand",0,"False",0,"hi",3.272,122,"7.9",44,26237,"","12/03/1971","[18]"
"296","The Nightcomers",0,"False",0,"en",1.981,96,"5.9",26,42526,"Two Children. Two Adults. One Unspeakable Crime.","30/08/1971","[18, 27, 53]"
"297","Max and the Junkmen",0,"False",0,"fr",3.221,112,"7.1",34,3427,"","17/02/1971","[80, 18, 10749]"
"298","Octaman",0,"False",250000,"en",2.62,76,"3",14,91736,"Horror heap from the nuclear trash!","03/11/1971","[27, 878]"
"299","The Hired Hand",0,"False",0,"en",2.57,90,"6.4",29,42522,"Peter Fonda is riding again... To the woman he lost ... for the revenge he craves!","11/08/1971","[37]"
"300","Puppet on a Chain",0,"False",0,"en",3.308,98,"6.6",12,32034,"It will keep you hanging on the edge of your seat....","01/01/1971","[53]"
"301","The Point!",0,"False",0,"en",2.077,74,"7.1",21,23544,"","02/02/1971","[12, 16, 14, 10751]"
"302","Plaza Suite",0,"False",0,"en",3.235,114,"6.4",18,42514,"Book into Neil Simon's Hotel Suite for the time of your life","12/05/1971","[35, 18, 10749]"
"303","Between Miracles",0,"False",0,"it",2.544,122,"7.3",20,58702,"","24/03/1971","[35]"
"304","Girl Boss Blues: Queen Bee's Counterattack",0,"False",0,"ja",1.813,86,"4.6",4,64726,"","27/10/1971","[28, 80, 18]"
"305","The Light at the Edge of the World",0,"False",0,"en",3.165,128,"5.8",16,90974,"Jules Verne Takes You Over the Edge of the World!","16/07/1971","[12]"
"306","The Werewolf Versus the Vampire Woman",0,"False",0,"es",3.224,95,"5.6",18,28403,"Things happen that have never been seen by human beings. The blood flows like vintage wine. See it with someone you hate.","17/05/1971","[27]"
"307","The Night Visitor",0,"False",0,"en",2.722,106,"6.2",18,72086,"Locked in the cold asylum of his mind - a sane man stalks his prey...","10/02/1971","[80, 27]"
"308","Aphrodisiac!: The Sexual Secret of Marijuana",0,"False",0,"en",2.521,76,"5.1",8,31537,"","05/11/1971","[99]"
"309","Four Nights of a Dreamer",0,"False",0,"fr",3.839,87,"7.3",22,55847,"","29/06/1971","[18, 10749]"
"310","Officers",0,"False",0,"ru",3.969,96,"7.4",23,65386,"There is such a profession - to defend their homeland","26/07/1971","[18, 10749, 10752]"
"311","The Mephisto Waltz",0,"False",0,"en",3.928,115,"6.5",28,40158,"...The Sound of Terror","09/04/1971","[27]"
"312","Dracula vs. Frankenstein",0,"False",0,"en",3.026,91,"3.8",12,3125,"","20/09/1971","[27, 878]"
"313","The Magnificent Seven Deadly Sins",0,"False",0,"en",2.725,107,"5.5",12,226124,"","01/11/1971","[35]"
"314","The Last Valley",0,"False",0,"en",3.014,128,"6.4",20,42525,"","28/01/1971","[28, 18, 10752]"
"315","A Gunfight",0,"False",0,"en",2.613,89,"6.2",15,71654,"In Bajo Rio, they pay to see a man kill a bull. Today, they'll pay to see a man kill another man.","25/08/1971","[37]"
"316","Night of Dark Shadows",0,"False",900000,"en",1.986,95,"5.5",11,71945,"Just another night of... Terror.","04/08/1971","[18, 27, 9648, 53]"
"317","The Corpse Grinders",0,"False",47000,"en",2.044,72,"3.8",13,27832,"They Went in People and Came Out Hamburger!","19/05/1971","[27]"
"318","The Night Evelyn Came Out of the Grave",0,"False",0,"it",1.903,103,"6.1",25,42499,"The worms are waiting.","18/08/1971","[27, 9648]"
"319","Secret Fantasy",0,"False",0,"it",3.361,110,"6.9",7,69470,"","22/09/1971","[35]"
"320","Bless the Beasts & Children",0,"False",0,"en",1.95,109,"7.1",10,94225,"Only one animal kills just for the sport of it... Guess which...","18/10/1971","[35, 18]"
"321","The Godfather",245066411,"False",6000000,"en",29.365,175,"8.7",11488,238,"An offer you can't refuse.","14/03/1972","[80, 18]"
"322","Fist of Fury",0,"False",10000000,"zh",13.582,108,"7.3",416,11713,"Bruce Lee has done the impossible... ...HE'S SURPASSED HIMSELF!!!","22/03/1972","[18, 28, 53]"
"323","The Genesis Children",0,"False",0,"en",11.616,85,"7",3,47094,"","01/08/1972","[18]"
"324","The Way of the Dragon",2.7e+07,"False",130000,"cn",14.274,100,"7.4",498,9462,"The Colosseum . . the battleground of Bruce Lee and Chuck Norris.","01/06/1972","[28, 80]"
"325","Solaris",0,"False",0,"ru",12.73,167,"7.9",770,593,"","20/03/1972","[18, 878, 12, 9648]"
"326","Last Tango in Paris",36144000,"False",1250000,"it",14.29,129,"7.1",625,1643,"Bernardo Bertolucci’s Landmark Film","14/10/1972","[18, 10749]"
"327","Cries and Whispers",0,"False",400000,"sv",11.969,95,"8",285,10238,"A haunting and shattering film experience.","21/12/1972","[18]"
"328","Everything You Always Wanted to Know About Sex *But Were Afraid to Ask",18016290,"False",2000000,"en",9.882,88,"6.6",500,11624,"You haven't seen anything until you've seen everything","06/08/1972","[35]"
"329","Jeremiah Johnson",0,"False",0,"en",7.855,108,"7.4",282,11943,"His Mountain. His Peace. His Great Hunts. His Young Bride. With All That, It Should Have Been Different.","10/09/1972","[12, 37]"
"330","Conquest of the Planet of the Apes",9700000,"False",1700000,"en",9.056,88,"6.2",426,1688,"All new! The revolt of the apes. The most awesome spectacle in the annals of science fiction!","29/06/1972","[28, 878]"
"331","Fritz the Cat",1e+08,"False",850000,"en",7.789,78,"6.2",132,12593,"We're not rated X for nothin', baby!","12/04/1972","[16, 35, 18]"
"332","The Poseidon Adventure",84563118,"False",5000000,"en",11.778,117,"7.2",459,551,"Who will survive-in one of the greatest escape adventures ever!","13/12/1972","[28, 12, 18]"
"333","Aguirre, the Wrath of God",0,"False",92000,"de",11.763,93,"7.6",506,2000,"A breathtaking journey into the heart of darkness","29/12/1972","[12, 18, 36]"
