"","id","film","revenue","budget","language","popularity","runtime","vote.average","vote.count","tagline","release.date","genres","certification","gender","actor.name"
"575",9610,"Conan the Destroyer",31042035,18000000,"en",9.73,103,6,780,"The most powerful legend of all is back in a new adventure.","1984-06-29","[12, 14, 28]","PG",1,"Grace Jones"
"576",1880,"Red Dawn",38376497,17000000,"en",7.247,114,6.3,393,"In our time, no foreign army has ever occupied American soil. Until now.","1984-08-10","[28, 53, 10752]","PG-13",2,"C. Thomas Howell"
"577",841,"Dune",30925690,40000000,"en",12.486,137,6.4,1177,"A world beyond your experience, beyond your imagination.","1984-12-14","[28, 878, 12]","PG-13",1,"Francesca Annis"
"578",377,"A Nightmare on Elm Street",25504513,1800000,"en",17.244,91,7.3,2830,"If Nancy Doesn't Wake Up Screaming, She Won't Wake Up At All!","1984-11-14","[27]","R",1,"Ronee Blakley"
"579",9730,"Friday the 13th: The Final Chapter",32980880,2600000,"en",8.5,91,5.9,590,"Jason's Back, and this is the one you've been screaming for.","1984-04-13","[27, 53]","R",2,"Peter Barton"
"580",11002,"Greystoke: The Legend of Tarzan, Lord of the Apes",45858563,0,"en",7.017,143,6.2,236,"","1984-03-30","[28, 12, 18, 10749]","PG",2,"Ian Holm"
"581",9326,"Romancing the Stone",86572238,10000000,"en",9.268,106,6.7,949,"She's a girl from the big city. He's a reckless soldier of fortune. For a fabulous treasure, they share an adventure no one could imagine... or survive.","1984-03-30","[28, 12, 35, 10749]","PG",1,"Kathleen Turner"
"582",9336,"Police Academy",146198896,4500000,"en",13.309,96,6.6,1379,"What an Institution!","1984-03-22","[35, 80]","R",1,"Kim Cattrall"
"583",2619,"Splash",69821334,8000000,"en",8.253,111,6.2,706,"Allen Bauer Thought He'd Never Find The Right Woman... He Was Only Half Wrong!","1984-03-09","[35, 14, 10749]","PG",1,"Daryl Hannah"
"584",34584,"The NeverEnding Story",20158808,27000000,"en",13.928,102,7.2,2252,"A boy who needs a friend finds a world that needs a hero in a land beyond imagination!","1984-04-05","[18, 10751, 14, 12]","PG",2,"Gerald McRaney"
"585",9663,"Starman",28744356,22000000,"en",6.165,115,6.8,410,"In 1977 Voyager II was launched into space, inviting all lifeforms in the universe to visit our planet. Get ready. Company's coming.","1984-12-13","[10749, 878]","PG",1,"Karen Allen"
"586",1884,"The Ewok Adventure",0,3000000,"en",8.437,96,5.5,116,"You'll live the adventure... You'll love it's heroes.","1984-11-25","[12, 10751, 14, 878, 10770]","",1,"Fionnula Flanagan"
"587",8764,"Top Secret!",20458340,9000000,"en",9.292,90,7,522,"Don't tell anyone.","1984-06-08","[35]","PG",1,"Lucy Gutteridge"
"588",12309,"Bachelor Party",38435947,6000000,"en",8.819,105,6,308,"A man's tradition every woman should know about.","1984-06-29","[35]","R",1,"Tawny Kitaen"
